,Name,Class,Subtype,D170,d30Si,d51V,e53Cr,e54Cr,D170_2se,d30Si_2se,d51V_2se,e53Cr_2se,e54Cr_2se
91,Cynthiana,Ordinary Chondrites,L4 ...,1.08,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
92,DG005,Carbonaceous Chondrites,CK3 ...,-4.120,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
93,DR-N,Earth,Diorite ...,NaN,-0.260,NaN,NaN,NaN,NaN,0.02,NaN,NaN,NaN
94,DTS-2b,Earth,Dunite ...,NaN,-0.230,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN
95,DaG-476,Mars,"Shergottite,_Ol-phyricbasalt ...",NaN,-0.430,NaN,NaN,NaN,NaN,0.03,NaN,NaN,NaN
96,DaG006,Carbonaceous Chondrites,CO3 ...,-3.880,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
97,DaG023,Carbonaceous Chondrites,CO3 ...,-4.330,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
98,DaG025,Carbonaceous Chondrites,CO3 ...,-4.240,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
99,Daniel'sKuil,Enstatite Chondrites,EL6 ...,0,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
100,Dar al Gani,Mars,None,0.317,NaN,NaN,NaN,NaN,0.048,NaN,NaN,NaN,NaN
101,Deccanbasalt,Earth,None,NaN,NaN,NaN,0.03,0.08,NaN,NaN,NaN,0.08,0.15
102,Dhurmsala,Ordinary Chondrites,LL6 ...,1.15,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
103,Dongtai,Ordinary Chondrites,LL6 ...,1.02,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
104,D’Orbigny,Angrites,None,NaN,-0.240,NaN,NaN,NaN,NaN,0.068,NaN,NaN,NaN
105,EET83311,Carbonaceous Chondrites,CK5 ...,-4.320,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
106,EET83334,Carbonaceous Chondrites,CM1 ...,-2.280,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
107,EET87507,Carbonaceous Chondrites,CK5 ...,-4.150,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
108,EET87522,Carbonaceous Chondrites,CM2 ...,-3.710,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
